Age;Intensity
0;0,00413757
1;0,000169183
2;0,000148312
3;0,000103594
4;8,06058E-05
5;6,76489E-05
6;5,38793E-05
7;4,6629E-05
8;4,30542E-05
9;3,91157E-05
10;4,18926E-05
11;4,93921E-05
12;6,25954E-05
13;8,31475E-05
14;0,000108912
15;0,00014132
16;0,000177674
17;0,000219929
18;0,000256942
19;0,00028892
20;0,00030984
21;0,000316208
22;0,000320935
23;0,000323681
24;0,000327197
25;0,000328121
26;0,000321043
27;0,000304224
28;0,000293905
29;0,000299826
30;0,00032684
31;0,000372561
32;0,000422363
33;0,000464636
34;0,00048898
35;0,000512212
36;0,000541141
37;0,000576245
38;0,000631038
39;0,000696987
40;0,000763642
41;0,000842356
42;0,000949353
43;0,001061798
44;0,001176581
45;0,001299487
46;0,001413507
47;0,001540463
48;0,001688004
49;0,001871651
50;0,002088146
51;0,002347134
52;0,002639507
53;0,002930476
54;0,00324409
55;0,003567452
56;0,003913237
57;0,004302216
58;0,004765575
59;0,005278722
60;0,005885484
61;0,006581442
62;0,007299319
63;0,008133968
64;0,009014221
65;0,009993137
66;0,011135141
67;0,012426604
68;0,013843371
69;0,015435258
70;0,017024662
71;0,01868843
72;0,020514259
73;0,022423536
74;0,024672231
75;0,027261595
76;0,030134698
77;0,033399005
78;0,037177468
79;0,041223786
80;0,046134658
81;0,051621752
82;0,057563515
83;0,064629827
84;0,072736164
85;0,082987602
86;0,095502115
87;0,110588022
88;0,128007825
89;0,147451868
90;0,168377552
91;0,191102295
92;0,215709906
93;0,242079957
94;0,270997614
95;0,30172415
96;0,334303509
97;0,368512772
98;0,40407005
99;0,440641543
100;0,477852577
101;0,515301943
102;0,552578486
103;0,589278542
104;0,625022705
105;0,659470539
106;0,692332072
107;0,723375415
108;0,753856354
109;0,781950146
110;0,807488086
